joao;joao@gmail.com;['rock', 'metal'];['bateria']
ricardo;ricardo@gmail.com;['rock', 'classico'];['piano']
wesley;wesley@gmail.com;['rock', 'metal'];['baixo']
jefferson;jefferson@gmail.com;['rock', 'metal'];['baixo']
adriano;adriano@gmail.com;['rock', 'metal'];['piano']
paulo;paulo@gmail.com;['pop', 'blues', 'rock'];['bateria', 'guitarra']
andre;andre@gmail.com;['blues'];['vocal', 'guitarra', 'bateria']
maria;maria@gmail.com;['metal', 'rock'];['piano']
carla;carla@gmail.com;['rock', 'blues'];['piano', 'vocal]
pedro;pedro@gmail.com;['pop', 'blues', 'rock'];['guitarra', 'vocal']
cesar;cesar@gmail.com;['rock', 'blues'];['bateria', 'guitarra']
luiz;luiz@gmail.com;['rock', 'metal'];['bateria']
ronaldo;ronaldo@gmail.com;['rock', 'metal'];['piano']
roberto;roberto@gmail.com;['rock', 'metal'];['piano']
robson;robson@gmail.com;['rock', 'metal'];['piano']
daniel;daniel@gmail.com;['rock', 'blues'];['guitarra']
julio;julio@gmail.com;['rock', 'blues'];['bateria']
marisa;marisa@gmail.com;['rock', 'blues'];['vocal', 'piano']
muriel;muriel@gmail.com;['pop', 'blues', 'rock'];['vocal', 'bateria']
miguel;miguel@gmail.com;['rock', 'metal'];['guitarra']
junior;junior@gmail.com;['rock'];['bateria']
